age_bin,count,mae
0-5,1,3.008286014199257
5-10,0,
10-15,1,11.001246064901352
15-20,40,18.15403281415347
20-25,31,21.679927049505135
25-30,52,26.77394920299188
30-35,45,31.870921244099737
35-40,62,36.876950229968756
40-45,80,41.96729718244169
45-50,97,47.24350630947072
50-55,132,52.24201116998765
55-60,110,56.99767587908798
60-65,92,62.09370091824752
65-70,74,67.01968239625361
70-75,70,71.86380298249424
75-80,46,77.22141473114733
80-85,15,81.40488213393837
85-90,6,87.00735774325828
90-95,0,
95-100,0,
