age_bin,count,mae
0-5,1,2.9844259647652507
5-10,0,
10-15,1,10.982263892889023
15-20,40,18.129172212886623
20-25,31,21.65889329607448
25-30,52,26.74854933235866
30-35,45,31.844420293201175
35-40,62,36.84841561762075
40-45,80,41.94031481234124
45-50,97,47.21401477126962
50-55,132,52.21010195638871
55-60,110,56.96716840151189
60-65,92,62.063670558470264
65-70,74,66.99024121304723
70-75,70,71.83568381923916
75-80,46,77.19571425520775
80-85,15,81.37827817338209
85-90,6,86.97779418652256
90-95,0,
95-100,0,
