age_bin,count,mae
0-5,1,2.9374299943447113
5-10,0,
10-15,1,10.953748144209385
15-20,40,18.089294790569692
20-25,31,21.618305835632547
25-30,52,26.70942088818321
30-35,45,31.807621618443065
35-40,62,36.809514232821044
40-45,80,41.90237540230155
45-50,97,47.176027365643336
50-55,132,52.173827988123804
55-60,110,56.930301035703586
60-65,92,62.02657109114301
65-70,74,66.95349143375013
70-75,70,71.79596551672688
75-80,46,77.16018077876905
80-85,15,81.34017801582813
85-90,6,86.94030772025387
90-95,0,
95-100,0,
