age_bin,count,mae
0-5,1,2.9559477418661118
5-10,0,
10-15,1,10.96046181768179
15-20,40,18.106521905912086
20-25,31,21.63774070239836
25-30,52,26.725564973213924
30-35,45,31.822284097886747
35-40,62,36.82676552885002
40-45,80,41.91792324706912
45-50,97,47.192275487001716
50-55,132,52.1888996836814
55-60,110,56.94587413143705
60-65,92,62.04194279511095
65-70,74,66.9693458941891
70-75,70,71.81304144747556
75-80,46,77.17521699161634
80-85,15,81.35675451358159
85-90,6,86.95843563290934
90-95,0,
95-100,0,
