age_bin,count,mae
0-5,1,2.9868061719462276
5-10,0,
10-15,1,10.980586001649499
15-20,40,18.1347772548208
20-25,31,21.66230010421526
25-30,52,26.75426795414219
30-35,45,31.85109760519117
35-40,62,36.857303561823024
40-45,80,41.94807003794703
45-50,97,47.22326311456597
50-55,132,52.22095775086376
55-60,110,56.97731207045303
60-65,92,62.07261416460792
65-70,74,66.99939768300769
70-75,70,71.84393578713228
75-80,46,77.20119297951865
80-85,15,81.38566871800771
85-90,6,86.98687788052484
90-95,0,
95-100,0,
