age_bin,count,mae
0-5,1,2.924190953373909
5-10,0,
10-15,1,10.921317428350449
15-20,40,18.073865761421622
20-25,31,21.59919835987591
25-30,52,26.692376628518105
30-35,45,31.789757589333586
35-40,62,36.79493849724531
40-45,80,41.88585477750748
45-50,97,47.160957586442684
50-55,132,52.15877647285886
55-60,110,56.91470912566239
60-65,92,62.010603237330265
65-70,74,66.93704988354364
70-75,70,71.7808469446642
75-80,46,77.13966946109481
80-85,15,81.32315475841364
85-90,6,86.92408975213766
90-95,0,
95-100,0,
