age_bin,count,mae
0-5,1,3.116689696907997
5-10,0,
10-15,1,11.128262996673584
15-20,40,18.270872019976377
20-25,31,21.80169001990749
25-30,52,26.88776710586479
30-35,45,31.987319328387578
35-40,62,36.988161296253246
40-45,80,42.08285086741671
45-50,97,47.35422643235664
50-55,132,52.351088261909105
55-60,110,57.108399071476676
60-65,92,62.20386055290051
65-70,74,67.13096714150664
70-75,70,71.97352409426655
75-80,46,77.33816711766565
80-85,15,81.51739137570063
85-90,6,87.11594770227869
90-95,0,
95-100,0,
