age_bin,count,mae
0-5,1,3.1123164370656013
5-10,0,
10-15,1,11.12146446108818
15-20,40,18.26720974352211
20-25,31,21.79645370403605
25-30,52,26.88437254440326
30-35,45,31.983551461994647
35-40,62,36.98186554735707
40-45,80,42.07590298363939
45-50,97,47.345651706546235
50-55,132,52.342620355613306
55-60,110,57.09902375760404
60-65,92,62.19537759491283
65-70,74,67.12294408195727
70-75,70,71.96599515431694
75-80,46,77.33404461569761
80-85,15,81.51208584556977
85-90,6,87.11031105990212
90-95,0,
95-100,0,
