age_bin,count,mae
0-5,1,2.9659997150301933
5-10,0,
10-15,1,10.972181029617786
15-20,40,18.11782999825664
20-25,31,21.644715177976796
25-30,52,26.737061338069346
30-35,45,31.835776582484446
35-40,62,36.83830205933942
40-45,80,41.9308966049226
45-50,97,47.20440328954575
50-55,132,52.20239426819325
55-60,110,56.95834757843139
60-65,92,62.05455684103072
65-70,74,66.98096724244691
70-75,70,71.82448559094753
75-80,46,77.18656089286442
80-85,15,81.36865575698515
85-90,6,86.96756780209641
90-95,0,
95-100,0,
