age_bin,count,mae
0-5,1,2.9638344421982765
5-10,0,
10-15,1,10.965041108429432
15-20,40,18.117326787533237
20-25,31,21.644802000493772
25-30,52,26.734902382971576
30-35,45,31.83251286091076
35-40,62,36.83643776217416
40-45,80,41.928301239549185
45-50,97,47.20217629166839
50-55,132,52.199438264791034
55-60,110,56.955939128097484
60-65,92,62.05141818424201
65-70,74,66.9779815175193
70-75,70,71.82173611135887
75-80,46,77.18157794277953
80-85,15,81.36346249555548
85-90,6,86.96287717980643
90-95,0,
95-100,0,
