age_bin,count,mae
0-5,1,2.9666154123842716
5-10,0,
10-15,1,10.970046885311604
15-20,40,18.11651480598375
20-25,31,21.642425353188187
25-30,52,26.734937602367538
30-35,45,31.832323048222396
35-40,62,36.836740977881895
40-45,80,41.9283319207374
45-50,97,47.202999560085615
50-55,132,52.20102592776389
55-60,110,56.95708292306147
60-65,92,62.05279554944971
65-70,74,66.97899384119523
70-75,70,71.82240328248591
75-80,46,77.1820797983395
80-85,15,81.36498206282656
85-90,6,86.96471803387006
90-95,0,
95-100,0,
