age_bin,count,mae
0-5,1,3.0373224169015884
5-10,0,
10-15,1,11.049756225198507
15-20,40,18.187694884557278
20-25,31,21.724037824859543
25-30,52,26.80716778857347
30-35,45,31.90369322763549
35-40,62,36.90600985925524
40-45,80,42.0007013367489
45-50,97,47.27133027014812
50-55,132,52.268396781489365
55-60,110,57.02522214349698
60-65,92,62.12192692186522
65-70,74,67.04973049461842
70-75,70,71.89168113286473
75-80,46,77.26032781106946
80-85,15,81.43682978575428
85-90,6,87.03688046894968
90-95,0,
95-100,0,
