age_bin,count,mae
0-5,1,2.890785902738571
5-10,0,
10-15,1,10.883307836949825
15-20,40,18.037379877828062
20-25,31,21.56478269902929
25-30,52,26.65771228332932
30-35,45,31.752367332246568
35-40,62,36.76019521213828
40-45,80,41.84871864793822
45-50,97,47.12669404373341
50-55,132,52.12412378203237
55-60,110,56.879032613675705
60-65,92,61.975609441652246
65-70,74,66.9016159723538
70-75,70,71.74664847872087
75-80,46,77.10232682299355
80-85,15,81.28573419700066
85-90,6,86.88724901899695
90-95,0,
95-100,0,
