age_bin,count,mae
0-5,1,2.982409056276083
5-10,0,
10-15,1,10.97686636261642
15-20,40,18.13090366774704
20-25,31,21.6570113744106
25-30,52,26.75066330180002
30-35,45,31.847245955073998
35-40,62,36.85348561185322
40-45,80,41.94435305384686
45-50,97,47.220616468622055
50-55,132,52.218951141856834
55-60,110,56.97464843042703
60-65,92,62.06999965448378
65-70,74,66.99684285979114
70-75,70,71.8405502120033
75-80,46,77.19761205264165
80-85,15,81.38244352464875
85-90,6,86.98308982715632
90-95,0,
95-100,0,
