age_bin,count,mae
0-5,1,2.978939676657319
5-10,0,
10-15,1,10.977721597999334
15-20,40,18.127350689237936
20-25,31,21.654463686349413
25-30,52,26.746515789391616
30-35,45,31.84391245175567
35-40,62,36.84807521110821
40-45,80,41.94001796049997
45-50,97,47.21427238207387
50-55,132,52.2117521087639
55-60,110,56.967746590010144
60-65,92,62.06402821674862
65-70,74,66.99039466782297
70-75,70,71.8341952287725
75-80,46,77.19472302318268
80-85,15,81.37793148656687
85-90,6,86.97732323873788
90-95,0,
95-100,0,
