age_bin,count,mae
0-5,1,3.0516563914716244
5-10,0,
10-15,1,11.043660804629326
15-20,40,18.199464351590724
20-25,31,21.723672098570294
25-30,52,26.817841041976443
30-35,45,31.915366656829914
35-40,62,36.92127542630319
40-45,80,42.011335134180264
45-50,97,47.287430965946506
50-55,132,52.285367759791285
55-60,110,57.04149959659712
60-65,92,62.13699700549731
65-70,74,67.06353691763975
70-75,70,71.90789478799063
75-80,46,77.2643225285346
80-85,15,81.45074120809635
85-90,6,87.05116514737408
90-95,0,
95-100,0,
