age_bin,count,mae
0-5,1,2.9863731916993856
5-10,0,
10-15,1,10.97901394404471
15-20,40,18.13534219271969
20-25,31,21.65901815644916
25-30,52,26.75369868431097
30-35,45,31.850685347306232
35-40,62,36.856187949167385
40-45,80,41.94521911117481
45-50,97,47.22153659210991
50-55,132,52.22023997228649
55-60,110,56.9756693365645
60-65,92,62.07180609469019
65-70,74,66.99745866895427
70-75,70,71.84163646592891
75-80,46,77.19699370731477
80-85,15,81.38216781169176
85-90,6,86.9826714626203
90-95,0,
95-100,0,
