age_bin,count,mae
0-5,1,2.9385099709033966
5-10,0,
10-15,1,10.941678274422884
15-20,40,18.090209160372616
20-25,31,21.616672506015146
25-30,52,26.70805079733523
30-35,45,31.80738984255327
35-40,62,36.810942991005795
40-45,80,41.902505764737725
45-50,97,47.17675639423974
50-55,132,52.174519655097164
55-60,110,56.930691088126466
60-65,92,62.025549136507124
65-70,74,66.95313735180409
70-75,70,71.79566022285394
75-80,46,77.15438073168954
80-85,15,81.33960619171461
85-90,6,86.93784866295755
90-95,0,
95-100,0,
