age_bin,count,mae
0-5,1,2.937126211822033
5-10,0,
10-15,1,10.940229125320911
15-20,40,18.087181782070548
20-25,31,21.616062241936884
25-30,52,26.706660778691564
30-35,45,31.804345527291296
35-40,62,36.8080744166528
40-45,80,41.900307877035814
45-50,97,47.17420049173008
50-55,132,52.17162508811011
55-60,110,56.92813931293786
60-65,92,62.02403635985178
65-70,74,66.95108105936968
70-75,70,71.79409693633872
75-80,46,77.15632106582432
80-85,15,81.33767573684455
85-90,6,86.93694586182635
90-95,0,
95-100,0,
