age_bin,count,mae
0-5,1,2.9383389726281166
5-10,0,
10-15,1,10.94058908522129
15-20,40,18.089464438147843
20-25,31,21.617524033712765
25-30,52,26.708668391865032
30-35,45,31.806025224427383
35-40,62,36.8099356737108
40-45,80,41.90213560117409
45-50,97,47.17594346684432
50-55,132,52.17373398874858
55-60,110,56.929828543893315
60-65,92,62.02597115504677
65-70,74,66.95264730612571
70-75,70,71.79641519641238
75-80,46,77.15682209015864
80-85,15,81.33994668324789
85-90,6,86.94034014642239
90-95,0,
95-100,0,
