age_bin,count,mae
0-5,1,3.020916359499097
5-10,0,
10-15,1,11.020183261483908
15-20,40,18.169554131291807
20-25,31,21.69611847406674
25-30,52,26.789125062883475
30-35,45,31.88710179819415
35-40,62,36.89099557699275
40-45,80,41.98251660785172
45-50,97,47.257361288700906
50-55,132,52.255455027080394
55-60,110,57.011383160254496
60-65,92,62.107469659987025
65-70,74,67.03369779333573
70-75,70,71.8774599513172
75-80,46,77.23729360354659
80-85,15,81.42013070875159
85-90,6,87.01996507154156
90-95,0,
95-100,0,
