age_bin,count,mae
0-5,1,2.9377152658998966
5-10,0,
10-15,1,10.93501316010952
15-20,40,18.08097634380683
20-25,31,21.60173216618357
25-30,52,26.700602178175288
30-35,45,31.798001981609396
35-40,62,36.80253582754202
40-45,80,41.89182610218413
45-50,97,47.16838978883839
50-55,132,52.16779887856859
55-60,110,56.92274513562972
60-65,92,62.019472039223686
65-70,74,66.94506494227696
70-75,70,71.78818748545434
75-80,46,77.14716558085512
80-85,15,81.32716824909052
85-90,6,86.92903809808195
90-95,0,
95-100,0,
