age_bin,count,mae
0-5,1,2.903566852211952
5-10,0,
10-15,1,10.897087395191193
15-20,40,18.057601422071457
20-25,31,21.583297784049666
25-30,52,26.676891076736727
30-35,45,31.774610084129705
35-40,62,36.781185307449874
40-45,80,41.872600132972
45-50,97,47.14823487493181
50-55,132,52.14763925111655
55-60,110,56.90303527739915
60-65,92,61.99702898712586
65-70,74,66.92469738071432
70-75,70,71.76744571168508
75-80,46,77.12354486613818
80-85,15,81.30601998368898
85-90,6,86.90751897543669
90-95,0,
95-100,0,
