age_bin,count,mae
0-5,1,3.0553817451000214
5-10,0,
10-15,1,11.056946691125631
15-20,40,18.204687538184224
20-25,31,21.731799378510445
25-30,52,26.823842285988995
30-35,45,31.92125067371461
35-40,62,36.92511756027177
40-45,80,42.01681934348308
45-50,97,47.2911498255106
50-55,132,52.28881102859635
55-60,110,57.04493957995014
60-65,92,62.1410791747596
65-70,74,67.06764650173686
70-75,70,71.91127754795764
75-80,46,77.27186937937918
80-85,15,81.45406133433183
85-90,6,87.0540442733715
90-95,0,
95-100,0,
