age_bin,count,mae
0-5,1,3.0546804443001747
5-10,0,
10-15,1,11.060796029865742
15-20,40,18.206701922696084
20-25,31,21.73598586455468
25-30,52,26.825862277370806
30-35,45,31.924068216400013
35-40,62,36.9266580947104
40-45,80,42.01883059991523
45-50,97,47.2925947936079
50-55,132,52.289810188763745
55-60,110,57.04610491042787
60-65,92,62.14263978564059
65-70,74,67.06914272637584
70-75,70,71.91202666429537
75-80,46,77.27540770003006
80-85,15,81.45544639180103
85-90,6,87.05443170356254
90-95,0,
95-100,0,
