age_bin,count,mae
0-5,1,3.0563805289566517
5-10,0,
10-15,1,11.044271495193243
15-20,40,18.198844761308283
20-25,31,21.723898555001906
25-30,52,26.81825162921674
30-35,45,31.915024298181137
35-40,62,36.92296977815849
40-45,80,42.01254274751991
45-50,97,47.29017847814818
50-55,132,52.28786453695008
55-60,110,57.04438032639975
60-65,92,62.13950767631278
65-70,74,67.06632059253752
70-75,70,71.91090763546526
75-80,46,77.26566175873513
80-85,15,81.452656741937
85-90,6,87.05221792931358
90-95,0,
95-100,0,
