age_bin,count,mae
0-5,1,3.0039240792393684
5-10,0,
10-15,1,11.009848989546299
15-20,40,18.15502095730044
20-25,31,21.688339417980565
25-30,52,26.773005576195338
30-35,45,31.87223487454984
35-40,62,36.87180148146205
40-45,80,41.96399419514928
45-50,97,47.23619812275715
50-55,132,52.23281784454417
55-60,110,56.9894232397899
60-65,92,62.086276813430466
65-70,74,67.0129791327274
70-75,70,71.85619022537556
75-80,46,77.22377031612332
80-85,15,81.40206095154086
85-90,6,86.99888594076037
90-95,0,
95-100,0,
