age_bin,count,mae
0-5,1,3.0521260909736156
5-10,0,
10-15,1,11.054996337741613
15-20,40,18.201744110975415
20-25,31,21.729870914211197
25-30,52,26.821560356694345
30-35,45,31.918884627521038
35-40,62,36.92342612075229
40-45,80,42.014973571617155
45-50,97,47.28939263223066
50-55,132,52.28731242036729
55-60,110,57.043513246693394
60-65,92,62.13951233349255
65-70,74,67.06593948169737
70-75,70,71.90932100260896
75-80,46,77.26904376077911
80-85,15,81.45148623337349
85-90,6,87.0520952673008
90-95,0,
95-100,0,
