age_bin,count,mae
0-5,1,3.041988141834736
5-10,0,
10-15,1,11.042326208204031
15-20,40,18.192004994442687
20-25,31,21.71861546023959
25-30,52,26.81039940701941
30-35,45,31.9082963693887
35-40,62,36.9126870888736
40-45,80,42.003538156067954
45-50,97,47.27841803696506
50-55,132,52.276922832807585
55-60,110,57.03299584048377
60-65,92,62.128514634323835
65-70,74,67.0545444926247
70-75,70,71.89905608173991
75-80,46,77.2576847769644
80-85,15,81.44377992078662
85-90,6,87.04435205087066
90-95,0,
95-100,0,
