age_bin,count,mae
0-5,1,2.9476568922400475
5-10,0,
10-15,1,10.938741203397512
15-20,40,18.093849454261363
20-25,31,21.62033100810743
25-30,52,26.712739595426964
30-35,45,31.808890961690082
35-40,62,36.81463615722473
40-45,80,41.905426933709535
45-50,97,47.18032363629372
50-55,132,52.178118361583486
55-60,110,56.934049266407435
60-65,92,62.02992528138439
65-70,74,66.95632821799734
70-75,70,71.80093356530581
75-80,46,77.15975935635683
80-85,15,81.343429886053
85-90,6,86.94395036374529
90-95,0,
95-100,0,
