age_bin,count,mae
0-5,1,3.000896374695003
5-10,0,
10-15,1,11.005803546868265
15-20,40,18.14765150216408
20-25,31,21.67688227793382
25-30,52,26.768536826246418
30-35,45,31.867366141919046
35-40,62,36.869601896085264
40-45,80,41.96162544190302
45-50,97,47.235269403310745
50-55,132,52.23305883497762
55-60,110,56.989758580059494
60-65,92,62.08650711324552
65-70,74,67.01283340825624
70-75,70,71.85665382908525
75-80,46,77.22019033428565
80-85,15,81.40056954969963
85-90,6,86.99879129324108
90-95,0,
95-100,0,
