age_bin,count,mae
0-5,1,2.9767568074166775
5-10,0,
10-15,1,10.98007058352232
15-20,40,18.130301396921276
20-25,31,21.658347483634227
25-30,52,26.74980471521401
30-35,45,31.847494475398626
35-40,62,36.851528281601325
40-45,80,41.94398932248587
45-50,97,47.21811044867122
50-55,132,52.2157831974257
55-60,110,56.97198600547219
60-65,92,62.06758801115717
65-70,74,66.99427201094207
70-75,70,71.83797981406428
75-80,46,77.19808138789529
80-85,15,81.38171774533888
85-90,6,86.98130325755726
90-95,0,
95-100,0,
