age_bin,count,mae
0-5,1,2.9310428351163864
5-10,0,
10-15,1,10.928324572741985
15-20,40,18.08689106879756
20-25,31,21.613330556860856
25-30,52,26.705087087188776
30-35,45,31.803378831512397
35-40,62,36.80721508086689
40-45,80,41.898910004040225
45-50,97,47.17385097788935
50-55,132,52.17186630362024
55-60,110,56.92742640149187
60-65,92,62.021964954657726
65-70,74,66.94903258284604
70-75,70,71.79248521296041
75-80,46,77.15020136818613
80-85,15,81.33569111302495
85-90,6,86.93366340175271
90-95,0,
95-100,0,
