age_bin,count,mae
0-5,1,3.092595212161541
5-10,0,
10-15,1,11.094309024512768
15-20,40,18.242523867823184
20-25,31,21.7697729167919
25-30,52,26.861663938285066
30-35,45,31.959831804864937
35-40,62,36.96316492245082
40-45,80,42.0563939942047
45-50,97,47.32988544599604
50-55,132,52.32820479921771
55-60,110,57.084225336123595
60-65,92,62.18009456635817
65-70,74,67.10709997246394
70-75,70,71.95062613231795
75-80,46,77.31189007797967
80-85,15,81.49148367245992
85-90,6,87.09269413972895
90-95,0,
95-100,0,
