age_bin,count,mae
0-5,1,2.970878519117832
5-10,0,
10-15,1,10.969689633697271
15-20,40,18.121288052527234
20-25,31,21.64800586251001
25-30,52,26.739944960348883
30-35,45,31.83715590962933
35-40,62,36.842286870454345
40-45,80,41.93274291474372
45-50,97,47.207973871860155
50-55,132,52.205668501146704
55-60,110,56.961554196510804
60-65,92,62.05789502035908
65-70,74,66.98388167780296
70-75,70,71.82848811809505
75-80,46,77.18782016865747
80-85,15,81.37081960874299
85-90,6,86.97143025013308
90-95,0,
95-100,0,
