age_bin,count,mae
0-5,1,2.9906826866790652
5-10,0,
10-15,1,10.993704920634627
15-20,40,18.139128142711705
20-25,31,21.667895649259368
25-30,52,26.759093685666674
30-35,45,31.856519799803696
35-40,62,36.85972410575637
40-45,80,41.9513096008799
45-50,97,47.2260057797137
50-55,132,52.223402765240856
55-60,110,56.97953468579799
60-65,92,62.07639089856378
65-70,74,67.00282293553087
70-75,70,71.84560396205634
75-80,46,77.20897062728181
80-85,15,81.38865570618461
85-90,6,86.98805989635487
90-95,0,
95-100,0,
