age_bin,count,mae
0-5,1,2.9743340127170086
5-10,0,
10-15,1,10.984657398425043
15-20,40,18.124756448110567
20-25,31,21.65454526233577
25-30,52,26.745120791628814
30-35,45,31.8429064091295
35-40,62,36.84761879004298
40-45,80,41.939583734434564
45-50,97,47.214602477512486
50-55,132,52.21339393088905
55-60,110,56.96923964564604
60-65,92,62.06588995491114
65-70,74,66.99156825259529
70-75,70,71.83561526685953
75-80,46,77.195274308911
80-85,15,81.37424968046447
85-90,6,86.976609542345
90-95,0,
95-100,0,
