age_bin,count,mae
0-5,1,2.966892283409834
5-10,0,
10-15,1,10.967171773314476
15-20,40,18.118354617478325
20-25,31,21.644879696590284
25-30,52,26.73723741226758
30-35,45,31.83407036840088
35-40,62,36.838905381249084
40-45,80,41.9302041754825
45-50,97,47.20535734843117
50-55,132,52.20343772852511
55-60,110,56.95908291094344
60-65,92,62.0551053397155
65-70,74,66.98177544093011
70-75,70,71.82565745541028
75-80,46,77.1853613048063
80-85,15,81.36816829318802
85-90,6,86.9688665450861
90-95,0,
95-100,0,
