age_bin,count,mae
0-5,1,2.926176816225052
5-10,0,
10-15,1,10.917354881763458
15-20,40,18.069002144411208
20-25,31,21.593093180368022
25-30,52,26.68868831057961
30-35,45,31.785419079164665
35-40,62,36.792494382949606
40-45,80,41.8824813186191
45-50,97,47.15787100000787
50-55,132,52.15626970046397
55-60,110,56.91276895986362
60-65,92,62.0089374953152
65-70,74,66.9356676456896
70-75,70,71.77848985099367
75-80,46,77.13608658767265
80-85,15,81.32017942766349
85-90,6,86.9219384578367
90-95,0,
95-100,0,
