age_bin,count,mae
0-5,1,2.989392150193453
5-10,0,
10-15,1,11.007215891033411
15-20,40,18.149120450438932
20-25,31,21.680745805583655
25-30,52,26.76812199055432
30-35,45,31.866975951194764
35-40,62,36.867593276074096
40-45,80,41.961922208429314
45-50,97,47.233101446565584
50-55,132,52.23086067806986
55-60,110,56.986937099153344
60-65,92,62.084126545116305
65-70,74,67.01075698314486
70-75,70,71.85246308850391
75-80,46,77.22056378578039
80-85,15,81.40160175400476
85-90,6,86.99670005620767
90-95,0,
95-100,0,
