age_bin,count,mae
0-5,1,3.029558766633272
5-10,0,
10-15,1,11.026079159229994
15-20,40,18.17765986658633
20-25,31,21.704259807243943
25-30,52,26.797422800248917
30-35,45,31.8942134903123
35-40,62,36.90058864055261
40-45,80,41.990728317550385
45-50,97,47.26686286382838
50-55,132,52.26501950877013
55-60,110,57.02082340078936
60-65,92,62.11689115003885
65-70,74,67.04307784411955
70-75,70,71.88748471042408
75-80,46,77.24419645236239
80-85,15,81.4293553976963
85-90,6,87.03051422163844
90-95,0,
95-100,0,
