age_bin,count,mae
0-5,1,3.1182292848825455
5-10,0,
10-15,1,11.140103623270988
15-20,40,18.277817022055387
20-25,31,21.812137766951516
25-30,52,26.896953192897715
30-35,45,31.996932095951504
35-40,62,36.99599736580445
40-45,80,42.091181217879054
45-50,97,47.36192495759922
50-55,132,52.35817246189849
55-60,110,57.115297157926996
60-65,92,62.21145753214217
65-70,74,67.13883522132764
70-75,70,71.98212704733014
75-80,46,77.34813152367006
80-85,15,81.52751603275537
85-90,6,87.12405993044376
90-95,0,
95-100,0,
