method,seed,overall_mse,overall_rmse,overall_l1,overall_gmean,overall_count,many_mse,many_rmse,many_l1,many_gmean,many_count,median_mse,median_rmse,median_l1,median_gmean,median_count,few_mse,few_rmse,few_l1,few_gmean,few_count,strategy,model,k
knn,0,130.66976182431048,11.4310875171311,8.887631058443018,5.1805338213255,954,88.8365545773681,9.425314561189357,6.114133438110351,2.9573300717323963,125,163.80903303242542,12.798790295665658,10.607477750161754,6.810749373609825,526,90.39878575302116,9.507827604296429,7.046204796718685,4.060213067939175,303,none,knn,15
gradient_boosting,0,91.9903907601535,9.591162117290766,7.47433319950892,4.810859351316399,954,125.63317569876578,11.208620597502879,8.078984302159817,4.443845556771652,125,83.66298985522826,9.146747501447072,7.306808088157087,4.862548437054701,526,92.56750217488667,9.62120066181382,7.515708845514535,4.879588729964769,303,none,gradient_boosting,15
ridge,0,92.36469883081541,9.610655483931126,7.52036411957171,4.970372408999603,954,123.94736791113468,11.13316522428077,8.338216827392579,5.061673005710435,125,81.62550820328119,9.0346836249689,7.206840243176362,4.872388927713673,526,97.97849630620512,9.898408776475394,7.727235309361625,5.10668017953193,303,none,ridge,15
knn_vanilla,0,114.14073234817681,10.68366661536089,8.35942377934166,5.3821418525041596,954,96.32128156139132,9.814340607569687,6.7057017211914065,3.841713538589874,125,134.9467427638281,11.616657986005618,9.608439391103534,6.829826929214075,526,85.37330617562107,9.239767647274528,6.873394226477091,4.09043259134158,303,vanilla,knn,15
ridge_vanilla,0,113.20080355921003,10.639586625391516,8.247327558649411,5.210142364296803,954,149.7329874593815,12.236543117211719,8.731553176879883,5.028803742951621,125,107.9190949345367,10.388411569365969,8.26295232954134,5.425616326360888,526,107.29867731847321,10.358507485080716,8.020440325091775,4.927699881218339,303,vanilla,ridge,15
knn_subsample,0,182.597786472648,13.512874841152344,10.561008961195716,6.742491443851918,954,73.96533839267975,8.600310366067015,5.2276490173339845,2.8922440347305876,125,243.1830370514534,15.594327079148155,13.069640290147905,9.380477849461217,526,122.23875744804208,11.056163776285247,8.406322208568207,5.38912240416868,303,subsample,knn,15
ridge_subsample,0,172.4384694934061,13.131582901288256,10.216232153604615,6.310577616497947,954,94.76930778433601,9.734952890709641,6.76062239074707,3.4530160175948805,125,210.62704387385384,14.512995689169546,11.651886725607028,7.563004439104254,526,138.18584602646956,11.755247595285672,9.149555307016907,5.910308632245274,303,subsample,ridge,15
knn_smoter,0,180.50180227288556,13.435095916028496,10.592348234188114,6.807498992175474,954,77.73529570741285,8.816762200910992,5.509190549530542,3.0567141567053646,125,232.67868002728164,15.253808705607975,12.722662399135185,8.831252419114223,526,132.31954359919496,11.503023237357862,8.991191335904407,6.028599277536334,303,smoter,knn,15
ridge_smoter,0,149.3528447307128,12.221000152635332,9.461477921318957,6.015936651788348,954,122.25905670780814,11.0570817446471,7.602555374145508,3.962904138736665,125,164.89945008331662,12.841318082008428,10.111821232413158,6.579487662164564,526,133.5416535999982,11.55602239527071,9.09938134297286,6.1176237121316355,303,smoter,ridge,15
knn_inverse,0,270.43269330608774,16.44483789236269,13.259812423018289,8.857680679350635,954,122.431597868571,11.064881285787525,7.858772979736328,5.023290853877277,125,365.558436408655,19.119582537509938,16.37761091732707,11.905310167091079,526,166.35347237453394,12.897808820669267,10.07554814052267,6.698955161804916,303,inverse,knn,15
ridge_inverse,0,219.49879045052876,14.81549156965535,11.22788915681639,7.228981031429073,954,218.95965212362165,14.797285295743325,9.099284377098083,4.964311819138071,125,262.104623955076,16.18964557842685,12.821241654370674,8.704052488802688,526,145.7586051946591,12.073052853137813,9.340008575137299,6.115256526419925,303,inverse,ridge,15
