method,seed,overall_mse,overall_rmse,overall_l1,overall_gmean,overall_count,many_mse,many_rmse,many_l1,many_gmean,many_count,median_mse,median_rmse,median_l1,median_gmean,median_count,few_mse,few_rmse,few_l1,few_gmean,few_count,strategy,model,k
knn,1,130.66976182431048,11.4310875171311,8.887631058443018,5.1805338213255,954,88.8365545773681,9.425314561189357,6.114133438110351,2.9573300717323963,125,163.80903303242542,12.798790295665658,10.607477750161754,6.810749373609825,526,90.39878575302116,9.507827604296429,7.046204796718685,4.060213067939175,303,none,knn,15
gradient_boosting,1,91.7137251237938,9.576728310012443,7.4723723069602235,4.80923696525545,954,125.14010392023579,11.186603770592566,8.20748017339344,4.716556291262563,125,84.1024887988136,9.170740907844555,7.303627201764211,4.838508293423177,526,91.13687019766945,9.546563266310523,7.462047033128377,4.797199638580994,303,none,gradient_boosting,15
ridge,1,92.36469883081541,9.610655483931126,7.52036411957171,4.970372408999603,954,123.94736791113468,11.13316522428077,8.338216827392579,5.061673005710435,125,81.62550820328119,9.0346836249689,7.206840243176362,4.872388927713673,526,97.97849630620512,9.898408776475394,7.727235309361625,5.10668017953193,303,none,ridge,15
xgboost,1,98.52839512973063,9.926147043527545,7.781463619048241,4.974472120429391,954,120.3982654619648,10.972614340345913,7.744656875610351,4.314580976360221,125,91.37627636613115,9.55909390926416,7.679872857300501,5.109011492208823,526,101.9220607341004,10.095645632355584,7.973006799276119,5.036464575444282,303,none,xgboost,15
knn_vanilla,1,114.14073234817681,10.68366661536089,8.35942377934166,5.3821418525041596,954,96.32128156139132,9.814340607569687,6.7057017211914065,3.841713538589874,125,134.9467427638281,11.616657986005618,9.608439391103534,6.829826929214075,526,85.37330617562107,9.239767647274528,6.873394226477091,4.09043259134158,303,vanilla,knn,15
ridge_vanilla,1,113.20080355921003,10.639586625391516,8.247327558649411,5.210142364296803,954,149.7329874593815,12.236543117211719,8.731553176879883,5.028803742951621,125,107.9190949345367,10.388411569365969,8.26295232954134,5.425616326360888,526,107.29867731847321,10.358507485080716,8.020440325091775,4.927699881218339,303,vanilla,ridge,15
knn_inverse,1,273.7279019246838,16.5447242927975,13.371710003297034,8.8692154627907,954,128.63138792614615,11.341577841118323,7.6026059398651125,4.373835689750936,125,365.81584748735685,19.126312961136993,16.425898664351198,12.352897831611514,526,173.72395764696498,13.180438446689282,10.44971255185974,6.679847462104497,303,inverse,knn,15
ridge_inverse,1,216.44250754745022,14.711985166776447,11.350320488027057,7.3297860526625405,954,207.98440065126343,14.421664281602988,9.997462005615235,5.955776650386363,125,251.86767610064987,15.87033950804613,12.537229331047362,8.591476075058807,526,158.43466828355685,12.587083390665084,9.84798800905939,6.0609643159932025,303,inverse,ridge,15
gpt2_vanilla,1,89.47723850857341,9.459240905515273,7.4234887808873715,4.841880115672703,954,125.2893564320314,11.19327282040563,8.591435317993165,5.5250275511542295,125,72.19096310758466,8.49652653191789,6.753080843066082,4.367932029641757,526,104.71178016034844,10.232877413530783,8.105473131236463,5.4831643250517095,303,vanilla,gpt2,15
gpt2_inverse,1,142.2712407210747,11.927750865987884,9.38767132669125,6.145111512973514,954,122.63695279170061,11.074156978826903,7.7907247009277345,4.576559901503398,125,148.44888580683158,12.183960185704466,9.852046948422045,6.784995470147951,526,139.64696572458504,11.817231728479603,9.240333871872904,5.843189240510606,303,inverse,gpt2,15
