method,seed,overall_mse,overall_rmse,overall_l1,overall_gmean,overall_count,many_mse,many_rmse,many_l1,many_gmean,many_count,median_mse,median_rmse,median_l1,median_gmean,median_count,few_mse,few_rmse,few_l1,few_gmean,few_count,strategy,model,k
knn,2,130.66976182431048,11.4310875171311,8.887631058443018,5.1805338213255,954,88.8365545773681,9.425314561189357,6.114133438110351,2.9573300717323963,125,163.80903303242542,12.798790295665658,10.607477750161754,6.810749373609825,526,90.39878575302116,9.507827604296429,7.046204796718685,4.060213067939175,303,none,knn,15
gradient_boosting,2,92.11495987315126,9.597653873377142,7.487441672516502,4.775957172268564,954,126.26012528602129,11.236553087402795,8.148531654833924,4.539259545574245,125,84.06253314125966,9.168562217777641,7.3225752357894125,4.860000632208372,526,92.00747071264377,9.592052476537217,7.500918563370532,4.7316855377215985,303,none,gradient_boosting,15
ridge,2,92.36469883081541,9.610655483931126,7.52036411957171,4.970372408999603,954,123.94736791113468,11.13316522428077,8.338216827392579,5.061673005710435,125,81.62550820328119,9.0346836249689,7.206840243176362,4.872388927713673,526,97.97849630620512,9.898408776475394,7.727235309361625,5.10668017953193,303,none,ridge,15
xgboost,2,98.52839512973063,9.926147043527545,7.781463619048241,4.974472120429391,954,120.3982654619648,10.972614340345913,7.744656875610351,4.314580976360221,125,91.37627636613115,9.55909390926416,7.679872857300501,5.109011492208823,526,101.9220607341004,10.095645632355584,7.973006799276119,5.036464575444282,303,none,xgboost,15
knn_vanilla,2,114.14073234817681,10.68366661536089,8.35942377934166,5.3821418525041596,954,96.32128156139132,9.814340607569687,6.7057017211914065,3.841713538589874,125,134.9467427638281,11.616657986005618,9.608439391103534,6.829826929214075,526,85.37330617562107,9.239767647274528,6.873394226477091,4.09043259134158,303,vanilla,knn,15
ridge_vanilla,2,113.20080355921003,10.639586625391516,8.247327558649411,5.210142364296803,954,149.7329874593815,12.236543117211719,8.731553176879883,5.028803742951621,125,107.9190949345367,10.388411569365969,8.26295232954134,5.425616326360888,526,107.29867731847321,10.358507485080716,8.020440325091775,4.927699881218339,303,vanilla,ridge,15
knn_inverse,2,279.07404733286086,16.70550949037056,13.567577394049623,9.174430830910955,954,109.8461144952332,10.480749710551875,7.512157211303711,4.862196663063977,125,377.5622469310606,19.43096103982149,16.757772989599424,12.298910562960156,526,177.91463682477638,13.338464560239922,10.527592706208182,7.167508584260945,303,inverse,knn,15
ridge_inverse,2,202.37436177258735,14.225834308489164,11.08497103580139,7.013852817663871,954,100.83473012929008,10.04164977129207,7.232404418945313,4.0057569428656645,125,247.48964207772036,15.731803522728104,12.753807444536188,8.632270708601952,526,165.94471330695094,12.881953008257364,9.777257755644644,6.162918707537045,303,inverse,ridge,15
gpt2_vanilla,2,89.51105668093368,9.461028309910803,7.364117156534575,4.755131921490651,954,125.59913741237321,11.207102096990694,8.308116333007813,4.674601450414614,125,76.9152679343305,8.770135000918202,6.915995412906313,4.600758480918962,526,96.48919129903047,9.8228911883941,7.75260606772042,5.07112991255168,303,vanilla,gpt2,15
gpt2_inverse,2,128.350204369285,11.329174920058609,8.837095236628311,5.682442422797401,954,107.40561676022122,10.36366811318373,7.345239974975586,4.322375629808001,125,138.24788386184503,11.75788602861267,9.410103507821551,6.138323727349438,526,119.80860053445463,10.945711513394395,8.457819847383908,5.563773032099219,303,inverse,gpt2,15
